event_id,creator_id,event_type,event_date
108,474,signup,2024-05-10
109,179,create_link,2024-06-06
110,197,share_link,2024-05-07
111,223,signup,2024-02-14
112,89,visit,2024-02-05
113,287,signup,2024-03-27
114,434,create_link,2024-04-27
115,276,share_link,2024-03-12
116,236,share_link,2024-03-08
117,183,share_link,2024-06-26
118,209,create_link,2024-04-12
119,493,visit,2024-06-07
120,130,share_link,2024-01-29
121,153,visit,2024-06-12
122,13,signup,2024-04-14
123,122,visit,2024-03-13
124,359,visit,2024-04-28
125,220,share_link,2024-03-25
126,106,purchase,2024-03-29
127,375,purchase,2024-03-29
128,70,create_link,2024-03-16
129,195,create_link,2024-05-18
130,186,purchase,2024-04-25
131,99,signup,2024-05-18
132,82,share_link,2024-06-02
133,75,share_link,2024-02-22
134,374,signup,2024-05-21
135,340,signup,2024-03-04
136,192,purchase,2024-05-17
137,325,create_link,2024-01-31
138,467,signup,2024-02-05
139,214,create_link,2024-01-10
140,315,visit,2024-01-26
141,444,share_link,2024-01-20
142,467,purchase,2024-05-04
143,382,share_link,2024-02-13
144,367,purchase,2024-03-02
145,318,visit,2024-03-19
146,144,share_link,2024-01-09
147,384,visit,2024-03-11
148,216,purchase,2024-03-30
149,361,signup,2024-01-24
150,324,share_link,2024-05-19
151,15,visit,2024-02-29
152,217,share_link,2024-03-24
153,492,share_link,2024-04-29
154,439,share_link,2024-03-18
155,35,create_link,2024-01-16
156,183,visit,2024-01-29
157,270,visit,2024-06-08
158,433,share_link,2024-04-28
159,467,signup,2024-02-04
160,358,share_link,2024-02-12
161,100,create_link,2024-04-05
162,7,purchase,2024-04-28
163,30,create_link,2024-02-22
164,467,signup,2024-01-20
165,305,share_link,2024-04-24
166,473,visit,2024-01-08
167,144,share_link,2024-05-01
168,111,signup,2024-02-11
169,232,visit,2024-03-17
170,179,create_link,2024-03-10
171,72,purchase,2024-04-20
172,210,purchase,2024-01-16
173,220,share_link,2024-03-09
174,80,create_link,2024-02-22
175,500,signup,2024-06-21
176,83,purchase,2024-06-27
177,42,create_link,2024-01-06
178,273,share_link,2024-05-02
179,191,visit,2024-02-02
180,173,share_link,2024-01-15
181,461,share_link,2024-01-14
182,7,create_link,2024-06-15
183,155,purchase,2024-03-03
184,10,create_link,2024-01-05
185,34,visit,2024-04-30
186,36,create_link,2024-03-30
187,409,signup,2024-04-16
188,6,share_link,2024-06-28
189,408,purchase,2024-01-16
190,402,visit,2024-04-08
191,215,share_link,2024-06-14
192,134,create_link,2024-02-22
193,285,signup,2024-03-17
194,126,create_link,2024-04-02
195,409,share_link,2024-06-22
196,439,visit,2024-04-07
197,337,purchase,2024-04-07
198,174,share_link,2024-05-22
199,152,visit,2024-02-28
200,331,share_link,2024-06-26
201,26,signup,2024-05-16
202,383,create_link,2024-01-26
203,115,purchase,2024-01-03
204,382,visit,2024-04-09
205,482,purchase,2024-02-16
206,284,purchase,2024-01-05
207,387,purchase,2024-03-02
208,75,visit,2024-03-24
209,166,visit,2024-05-12
210,189,purchase,2024-05-17
211,78,create_link,2024-03-20
212,435,share_link,2024-03-03
213,90,purchase,2024-01-25
214,176,signup,2024-02-13
215,21,purchase,2024-06-01
216,54,visit,2024-06-06
217,184,share_link,2024-01-14
218,359,signup,2024-03-26
219,222,share_link,2024-06-19
220,315,share_link,2024-06-04
221,328,signup,2024-01-19
222,179,purchase,2024-04-11
223,276,purchase,2024-06-18
224,112,purchase,2024-01-20
225,224,create_link,2024-03-19
226,214,purchase,2024-05-18
227,59,signup,2024-04-07
228,327,create_link,2024-04-30
229,393,purchase,2024-05-31
230,109,create_link,2024-01-17
231,385,signup,2024-06-04
232,157,purchase,2024-02-19
233,191,visit,2024-01-10
234,200,signup,2024-05-28
235,312,share_link,2024-02-27
236,196,share_link,2024-06-10
237,35,signup,2024-04-04
238,379,share_link,2024-04-16
239,387,signup,2024-06-19
240,246,visit,2024-05-18
241,237,signup,2024-02-02
242,104,purchase,2024-02-15
243,7,purchase,2024-05-08
244,283,create_link,2024-05-28
245,1,share_link,2024-03-02
246,219,share_link,2024-03-27
247,464,signup,2024-03-13
248,230,share_link,2024-01-01
249,455,purchase,2024-01-21
250,172,visit,2024-01-22
251,87,signup,2024-01-04
252,41,share_link,2024-03-05
253,123,purchase,2024-06-27
254,331,create_link,2024-03-03
255,298,share_link,2024-05-22
256,373,visit,2024-02-05
257,417,visit,2024-01-29
258,178,share_link,2024-06-28
259,63,share_link,2024-06-22
260,484,purchase,2024-03-09
261,165,share_link,2024-06-05
262,489,create_link,2024-04-20
263,187,purchase,2024-06-23
264,383,signup,2024-06-01
265,209,create_link,2024-05-23
266,227,purchase,2024-04-09
267,432,purchase,2024-02-10
268,389,visit,2024-05-27
269,48,purchase,2024-06-12
270,224,create_link,2024-02-17
271,3,share_link,2024-05-09
272,372,create_link,2024-06-05
273,175,signup,2024-05-23
274,446,purchase,2024-06-11
275,99,purchase,2024-04-20
276,116,purchase,2024-03-02
277,270,purchase,2024-04-16
278,447,visit,2024-04-15
279,368,visit,2024-05-11
280,253,share_link,2024-04-22
281,317,purchase,2024-03-08
282,415,signup,2024-06-27
283,95,share_link,2024-03-29
284,273,purchase,2024-06-09
285,380,visit,2024-03-18
286,24,signup,2024-05-31
287,116,share_link,2024-03-15
288,151,signup,2024-01-25
289,338,purchase,2024-06-04
290,50,create_link,2024-01-07
291,206,signup,2024-04-22
292,498,signup,2024-02-05
293,335,visit,2024-01-10
294,79,purchase,2024-04-22
295,70,signup,2024-02-05
296,27,purchase,2024-01-18
297,271,visit,2024-05-13
298,50,purchase,2024-05-14
299,292,visit,2024-04-11
300,247,visit,2024-05-19
301,264,share_link,2024-06-17
302,79,purchase,2024-01-25
303,387,create_link,2024-02-02
304,190,share_link,2024-03-27
305,47,visit,2024-03-13
306,461,create_link,2024-01-06
307,361,signup,2024-05-16
308,354,signup,2024-03-07
309,472,share_link,2024-05-23
310,488,create_link,2024-04-02
311,352,purchase,2024-04-17
312,189,create_link,2024-06-16
313,416,share_link,2024-01-26
314,256,purchase,2024-02-07
315,222,purchase,2024-06-11
316,372,signup,2024-05-21
317,241,create_link,2024-06-23
318,269,purchase,2024-04-12
319,1,share_link,2024-02-11
320,34,signup,2024-06-27
321,446,purchase,2024-05-26
322,79,create_link,2024-03-06
323,236,signup,2024-06-23
324,334,create_link,2024-02-11
325,377,create_link,2024-02-07
326,349,create_link,2024-05-20
327,98,signup,2024-04-15
328,82,purchase,2024-06-20
329,455,visit,2024-05-31
330,477,purchase,2024-04-05
331,415,signup,2024-06-06
332,192,visit,2024-03-10
333,253,visit,2024-02-07
334,409,visit,2024-04-06
335,38,share_link,2024-04-17
336,14,signup,2024-04-28
337,392,share_link,2024-05-30
338,347,visit,2024-03-14
339,310,share_link,2024-02-26
340,386,share_link,2024-04-19
341,209,signup,2024-03-19
342,357,create_link,2024-05-30
343,462,share_link,2024-02-05
344,89,share_link,2024-02-26
345,56,visit,2024-05-08
346,94,visit,2024-01-03
347,93,visit,2024-01-14
348,340,purchase,2024-02-03
349,85,share_link,2024-03-10
350,445,visit,2024-03-09
351,245,signup,2024-06-27
352,22,purchase,2024-04-13
353,291,create_link,2024-01-29
354,485,share_link,2024-02-17
355,272,share_link,2024-04-03
356,306,signup,2024-03-19
357,122,create_link,2024-04-26
358,128,create_link,2024-05-23
359,113,purchase,2024-05-17
360,427,share_link,2024-05-26
361,273,visit,2024-03-07
362,336,signup,2024-06-12
363,442,signup,2024-05-11
364,130,signup,2024-03-15
365,132,signup,2024-06-09
366,85,visit,2024-01-28
367,423,visit,2024-04-30
368,482,purchase,2024-01-09
369,350,share_link,2024-05-13
370,390,visit,2024-05-02
371,81,purchase,2024-02-18
372,487,create_link,2024-03-31
373,473,share_link,2024-05-04
374,325,visit,2024-03-16
375,69,create_link,2024-05-29
376,148,purchase,2024-04-13
377,448,visit,2024-06-24
378,16,visit,2024-05-28
379,307,create_link,2024-02-02
380,105,visit,2024-06-05
381,165,signup,2024-02-22
382,488,visit,2024-02-09
383,201,share_link,2024-01-18
384,197,create_link,2024-06-23
385,426,share_link,2024-01-13
386,185,purchase,2024-06-03
387,322,share_link,2024-03-14
388,265,signup,2024-04-05
389,363,signup,2024-04-14
390,100,share_link,2024-06-21
391,342,purchase,2024-05-10
392,320,visit,2024-05-29
393,214,signup,2024-06-03
394,278,share_link,2024-03-07
395,162,share_link,2024-02-02
396,439,share_link,2024-01-02
397,157,visit,2024-03-15
398,422,create_link,2024-06-22
399,251,purchase,2024-03-14
400,366,create_link,2024-06-09
401,97,purchase,2024-05-14
402,18,purchase,2024-05-22
403,327,share_link,2024-01-26
404,449,signup,2024-05-18
405,383,share_link,2024-05-07
406,97,visit,2024-06-14
407,1,purchase,2024-01-27
408,216,signup,2024-05-14
409,132,purchase,2024-05-08
410,260,purchase,2024-01-21
411,125,share_link,2024-03-19
412,82,signup,2024-06-06
413,283,signup,2024-04-03
414,171,purchase,2024-01-08
415,59,signup,2024-03-23
416,32,signup,2024-01-03
417,161,share_link,2024-02-24
418,284,create_link,2024-05-22
419,106,visit,2024-02-05
420,105,create_link,2024-01-06
421,439,signup,2024-04-30
422,228,purchase,2024-02-11
423,188,visit,2024-02-19
424,70,visit,2024-04-21
425,318,purchase,2024-05-25
426,464,visit,2024-02-19
427,290,purchase,2024-01-30
428,87,visit,2024-02-08
429,370,create_link,2024-04-25
430,362,visit,2024-05-19
431,472,share_link,2024-02-28
432,56,purchase,2024-03-16
433,113,visit,2024-06-20
434,13,purchase,2024-05-11
435,440,share_link,2024-06-12
436,18,visit,2024-02-17
437,182,visit,2024-05-21
438,461,share_link,2024-03-21
439,113,share_link,2024-02-18
440,229,share_link,2024-03-07
441,171,purchase,2024-03-17
442,295,share_link,2024-05-16
443,189,purchase,2024-01-21
444,426,create_link,2024-04-14
445,465,visit,2024-03-12
446,79,visit,2024-01-16
447,146,signup,2024-05-23
448,407,create_link,2024-01-28
449,182,share_link,2024-06-27
450,499,share_link,2024-03-20
451,286,create_link,2024-02-26
452,250,share_link,2024-04-19
453,354,signup,2024-02-21
454,314,purchase,2024-06-22
455,196,visit,2024-06-14
456,323,create_link,2024-03-24
457,71,visit,2024-02-17
458,248,purchase,2024-05-06
459,146,create_link,2024-06-17
460,106,purchase,2024-04-07
461,263,share_link,2024-04-27
462,296,share_link,2024-04-02
463,70,share_link,2024-03-07
464,470,purchase,2024-03-14
465,193,purchase,2024-03-24
466,68,purchase,2024-06-03
467,494,visit,2024-06-08
468,305,purchase,2024-01-10
469,52,share_link,2024-06-16
470,370,signup,2024-05-24
471,363,purchase,2024-04-27
472,285,signup,2024-04-06
473,405,share_link,2024-01-06
474,474,purchase,2024-06-15
475,334,visit,2024-01-18
476,9,visit,2024-03-12
477,251,signup,2024-03-29
478,431,visit,2024-02-11
479,332,visit,2024-01-04
480,298,visit,2024-01-20
481,435,share_link,2024-01-28
482,184,visit,2024-06-16
483,179,create_link,2024-04-13
484,198,purchase,2024-02-13
485,128,visit,2024-01-23
486,20,visit,2024-02-16
487,472,visit,2024-01-13
488,411,create_link,2024-05-23
489,422,visit,2024-04-04
490,328,visit,2024-01-16
491,65,purchase,2024-04-28
492,182,create_link,2024-06-13
493,241,create_link,2024-06-28
494,369,visit,2024-04-26
495,24,create_link,2024-01-10
496,384,signup,2024-05-01
497,431,create_link,2024-02-07
498,455,create_link,2024-02-13
499,83,create_link,2024-04-04
500,470,share_link,2024-03-14
501,319,share_link,2024-04-22
502,185,share_link,2024-02-20
503,439,create_link,2024-02-21
504,316,signup,2024-04-01
505,99,create_link,2024-02-28
506,62,visit,2024-01-13
507,286,signup,2024-06-17
508,477,share_link,2024-01-12
509,22,purchase,2024-02-19
510,459,signup,2024-02-26
511,212,share_link,2024-06-26
512,126,signup,2024-04-28
513,413,signup,2024-02-26
514,499,create_link,2024-01-08
515,425,visit,2024-04-15
516,42,purchase,2024-05-16
517,98,share_link,2024-04-29
518,449,signup,2024-03-03
519,31,purchase,2024-03-12
520,158,signup,2024-05-10
521,112,visit,2024-01-13
522,402,purchase,2024-05-16
523,247,share_link,2024-02-21
524,122,signup,2024-03-02
525,273,visit,2024-04-28
526,294,purchase,2024-04-18
527,398,signup,2024-01-08
528,471,signup,2024-04-04
529,473,share_link,2024-05-04
530,207,visit,2024-06-21
531,110,create_link,2024-02-22
532,440,signup,2024-03-03
533,278,purchase,2024-04-04
534,451,share_link,2024-03-21
535,56,share_link,2024-02-26
536,375,signup,2024-05-26
537,403,signup,2024-03-07
538,57,signup,2024-02-15
539,428,create_link,2024-04-03
540,482,signup,2024-05-17
541,291,visit,2024-04-22
542,114,purchase,2024-04-02
543,381,signup,2024-05-25
544,385,create_link,2024-05-19
545,308,purchase,2024-02-18
546,341,share_link,2024-01-23
547,477,signup,2024-03-02
548,198,purchase,2024-01-11
549,421,share_link,2024-03-13
550,321,create_link,2024-04-27
551,179,visit,2024-03-28
552,385,signup,2024-03-29
553,219,visit,2024-02-24
554,277,create_link,2024-06-01
555,437,purchase,2024-01-09
556,16,purchase,2024-01-12
557,492,create_link,2024-05-18
558,379,create_link,2024-04-22
559,61,signup,2024-06-14
560,54,share_link,2024-06-04
561,168,visit,2024-01-08
562,26,visit,2024-06-23
563,336,purchase,2024-02-05
564,476,purchase,2024-05-04
565,65,signup,2024-02-19
566,100,create_link,2024-04-16
567,74,visit,2024-01-09
568,192,signup,2024-03-07
569,171,purchase,2024-02-22
570,273,purchase,2024-03-22
571,377,visit,2024-04-19
572,187,purchase,2024-05-24
573,23,purchase,2024-02-22
574,391,share_link,2024-06-04
575,428,create_link,2024-04-23
576,181,purchase,2024-03-03
577,327,share_link,2024-05-22
578,108,signup,2024-01-19
579,335,purchase,2024-05-03
580,162,signup,2024-03-26
581,302,purchase,2024-03-10
582,493,visit,2024-02-16
583,452,share_link,2024-04-17
584,206,share_link,2024-06-24
585,78,visit,2024-01-20
586,16,create_link,2024-02-06
587,327,share_link,2024-05-09
588,96,signup,2024-02-05
589,147,share_link,2024-05-12
590,2,create_link,2024-03-04
591,10,signup,2024-01-07
592,434,signup,2024-04-29
593,125,visit,2024-01-22
594,81,purchase,2024-02-15
595,485,visit,2024-06-16
596,140,purchase,2024-04-19
597,326,visit,2024-02-15
598,150,purchase,2024-01-28
599,288,share_link,2024-03-27
600,361,signup,2024-02-04
601,340,purchase,2024-05-08
602,129,share_link,2024-06-05
603,438,create_link,2024-01-09
604,239,visit,2024-01-09
605,58,create_link,2024-01-22
606,198,share_link,2024-03-10
607,211,create_link,2024-05-20
608,402,create_link,2024-05-26
609,390,share_link,2024-06-09
610,45,signup,2024-03-05
611,97,purchase,2024-05-19
612,279,visit,2024-02-12
613,23,purchase,2024-01-17
614,410,visit,2024-03-08
615,461,purchase,2024-01-29
616,391,create_link,2024-05-14
617,335,signup,2024-02-13
618,44,create_link,2024-05-12
619,27,signup,2024-05-13
620,282,share_link,2024-01-07
621,97,visit,2024-06-22
622,463,visit,2024-02-23
623,36,share_link,2024-02-15
624,109,purchase,2024-05-17
625,55,share_link,2024-01-04
626,192,share_link,2024-06-01
627,219,signup,2024-03-31
628,185,share_link,2024-03-01
629,69,visit,2024-06-14
630,317,create_link,2024-06-08
631,130,signup,2024-05-30
632,55,signup,2024-04-20
633,378,purchase,2024-02-06
634,97,create_link,2024-01-03
635,336,signup,2024-01-13
636,87,share_link,2024-06-10
637,294,signup,2024-03-28
638,119,signup,2024-03-16
639,208,signup,2024-01-08
640,334,purchase,2024-03-23
641,413,signup,2024-01-09
642,154,signup,2024-06-04
643,35,purchase,2024-03-18
644,79,create_link,2024-05-03
645,67,visit,2024-05-25
646,343,purchase,2024-02-11
647,413,purchase,2024-02-10
648,34,signup,2024-06-09
649,97,signup,2024-03-29
650,169,visit,2024-03-17
651,169,signup,2024-02-23
652,151,share_link,2024-06-12
653,71,signup,2024-04-06
654,3,signup,2024-04-07
655,314,share_link,2024-02-25
656,32,visit,2024-04-09
657,287,share_link,2024-05-24
658,82,purchase,2024-01-10
659,43,share_link,2024-02-13
660,391,create_link,2024-05-09
661,105,purchase,2024-05-21
662,1,signup,2024-06-17
663,61,purchase,2024-05-09
664,270,visit,2024-01-19
665,180,visit,2024-03-20
666,224,share_link,2024-03-29
667,6,purchase,2024-01-01
668,103,signup,2024-05-09
669,10,visit,2024-01-27
670,71,signup,2024-01-02
671,90,create_link,2024-06-27
672,226,visit,2024-05-17
673,158,share_link,2024-01-19
674,228,create_link,2024-05-20
675,405,purchase,2024-06-24
676,126,signup,2024-04-23
677,444,visit,2024-02-25
678,209,create_link,2024-06-26
679,97,create_link,2024-04-04
680,74,visit,2024-06-21
681,115,purchase,2024-06-15
682,191,purchase,2024-05-28
683,495,share_link,2024-02-26
684,170,purchase,2024-04-11
685,307,share_link,2024-06-17
686,448,create_link,2024-03-10
687,204,visit,2024-03-22
688,56,purchase,2024-02-18
689,208,share_link,2024-06-20
690,41,create_link,2024-06-11
691,32,purchase,2024-03-31
692,15,signup,2024-01-05
693,62,create_link,2024-06-27
694,155,purchase,2024-02-26
695,284,create_link,2024-04-01
696,209,visit,2024-02-05
697,320,visit,2024-05-17
698,494,visit,2024-06-26
699,187,signup,2024-06-13
700,498,visit,2024-04-21
701,442,signup,2024-05-27
702,130,visit,2024-01-13
703,127,create_link,2024-05-01
704,292,purchase,2024-04-18
705,114,purchase,2024-05-26
706,199,visit,2024-04-01
707,13,purchase,2024-04-11
708,271,visit,2024-02-25
709,89,visit,2024-02-14
710,215,share_link,2024-02-29
711,444,share_link,2024-02-23
712,278,share_link,2024-02-06
713,447,signup,2024-02-06
714,474,share_link,2024-01-14
715,481,visit,2024-04-04
716,203,create_link,2024-06-20
717,74,share_link,2024-04-11
718,25,share_link,2024-02-11
719,101,create_link,2024-01-01
720,176,visit,2024-01-23
721,427,signup,2024-01-28
722,117,share_link,2024-05-11
723,166,create_link,2024-06-17
724,41,visit,2024-01-18
725,429,purchase,2024-02-18
726,344,signup,2024-02-16
727,424,create_link,2024-04-24
728,366,create_link,2024-02-08
729,120,create_link,2024-01-06
730,97,share_link,2024-02-22
731,145,purchase,2024-01-25
732,216,signup,2024-04-08
733,229,visit,2024-03-05
734,313,visit,2024-05-12
735,130,purchase,2024-01-08
736,352,create_link,2024-02-08
737,377,create_link,2024-04-20
738,318,create_link,2024-02-12
739,472,create_link,2024-03-22
740,137,create_link,2024-05-02
741,324,purchase,2024-05-12
742,337,share_link,2024-01-04
743,273,signup,2024-04-17
744,117,create_link,2024-04-02
745,306,share_link,2024-05-08
746,368,visit,2024-04-03
747,94,purchase,2024-02-25
748,168,share_link,2024-06-21
749,442,create_link,2024-01-03
750,203,create_link,2024-01-22
751,341,create_link,2024-02-25
752,149,share_link,2024-01-18
753,402,create_link,2024-06-01
754,183,share_link,2024-06-24
755,413,create_link,2024-04-25
756,152,visit,2024-03-24
757,74,visit,2024-06-07
758,365,signup,2024-01-30
759,401,create_link,2024-03-20
760,274,create_link,2024-03-06
761,42,share_link,2024-01-10
762,496,share_link,2024-02-28
763,212,create_link,2024-02-20
764,101,signup,2024-05-02
765,45,create_link,2024-05-16
766,82,share_link,2024-02-23
767,17,create_link,2024-03-21
768,73,share_link,2024-05-16
769,14,create_link,2024-01-09
770,433,purchase,2024-04-10
771,157,share_link,2024-05-31
772,223,signup,2024-02-08
773,132,purchase,2024-05-15
774,338,create_link,2024-06-01
775,404,share_link,2024-04-19
776,376,purchase,2024-03-06
777,376,signup,2024-01-10
778,47,share_link,2024-04-26
779,107,purchase,2024-05-31
780,108,purchase,2024-03-23
781,265,purchase,2024-06-07
782,205,visit,2024-05-18
783,79,create_link,2024-05-13
784,155,share_link,2024-03-10
785,271,share_link,2024-06-08
786,476,share_link,2024-02-08
787,485,purchase,2024-06-24
788,247,create_link,2024-01-13
789,19,signup,2024-02-28
790,346,share_link,2024-03-07
791,436,create_link,2024-02-10
792,26,create_link,2024-02-04
793,217,visit,2024-06-14
794,154,share_link,2024-03-21
795,154,purchase,2024-02-03
796,174,create_link,2024-03-16
797,92,create_link,2024-03-10
798,433,signup,2024-01-11
799,338,visit,2024-04-21
800,480,create_link,2024-01-27
801,181,create_link,2024-02-17
802,131,purchase,2024-01-24
803,450,purchase,2024-01-18
804,481,signup,2024-01-27
805,298,signup,2024-02-23
806,275,signup,2024-02-24
807,273,purchase,2024-04-29
808,492,purchase,2024-01-21
809,417,visit,2024-04-24
810,76,share_link,2024-06-10
811,177,share_link,2024-04-29
812,184,visit,2024-02-27
813,319,share_link,2024-06-24
814,131,purchase,2024-02-23
815,363,share_link,2024-05-25
816,49,purchase,2024-01-03
817,55,visit,2024-05-31
818,154,signup,2024-05-08
819,355,visit,2024-01-06
820,200,share_link,2024-01-19
821,308,purchase,2024-03-26
822,356,share_link,2024-04-24
823,373,share_link,2024-06-19
824,118,signup,2024-05-02
825,263,share_link,2024-05-15
826,46,signup,2024-06-28
827,302,purchase,2024-03-13
828,356,purchase,2024-02-16
829,400,signup,2024-03-25
830,408,visit,2024-01-28
831,189,purchase,2024-02-15
832,310,visit,2024-05-11
833,318,purchase,2024-04-29
834,129,purchase,2024-05-15
835,49,create_link,2024-04-25
836,25,share_link,2024-03-01
837,266,share_link,2024-01-17
838,118,visit,2024-02-03
839,464,share_link,2024-01-20
840,144,visit,2024-06-10
841,442,purchase,2024-02-12
842,200,create_link,2024-01-10
843,157,create_link,2024-04-03
844,487,purchase,2024-06-06
845,348,signup,2024-04-24
846,134,signup,2024-06-01
847,400,share_link,2024-05-06
848,148,visit,2024-04-19
849,336,create_link,2024-04-16
850,71,share_link,2024-04-14
851,233,purchase,2024-03-11
852,334,create_link,2024-06-23
853,299,visit,2024-03-24
854,154,visit,2024-01-03
855,90,signup,2024-02-15
856,334,share_link,2024-06-12
857,199,purchase,2024-01-26
858,161,create_link,2024-05-17
859,26,visit,2024-06-10
860,121,create_link,2024-01-08
861,301,purchase,2024-02-24
862,212,create_link,2024-03-31
863,63,share_link,2024-05-17
864,451,signup,2024-04-23
865,436,create_link,2024-03-19
866,68,signup,2024-04-10
867,253,purchase,2024-03-26
868,410,signup,2024-02-14
869,459,create_link,2024-02-19
870,2,create_link,2024-03-04
871,398,visit,2024-04-04
872,108,create_link,2024-01-02
873,286,signup,2024-06-21
874,49,visit,2024-04-04
875,140,create_link,2024-03-02
876,218,create_link,2024-05-21
877,44,purchase,2024-03-14
878,417,visit,2024-04-09
879,269,purchase,2024-04-20
880,78,purchase,2024-04-13
881,216,purchase,2024-01-15
882,382,share_link,2024-01-14
883,98,purchase,2024-06-07
884,236,signup,2024-06-05
885,282,create_link,2024-01-27
886,149,share_link,2024-03-25
887,412,purchase,2024-01-09
888,304,create_link,2024-01-20
889,484,visit,2024-03-19
890,424,visit,2024-06-25
891,66,create_link,2024-02-26
892,234,signup,2024-05-23
893,457,create_link,2024-04-09
894,87,create_link,2024-03-15
895,79,share_link,2024-05-15
896,205,visit,2024-03-07
897,279,visit,2024-01-19
898,337,purchase,2024-04-14
899,254,create_link,2024-06-12
900,304,create_link,2024-06-12
901,380,signup,2024-01-11
902,130,visit,2024-02-20
903,84,signup,2024-05-05
904,276,share_link,2024-03-20
905,187,purchase,2024-02-23
906,46,signup,2024-01-17
907,387,visit,2024-06-18
908,183,share_link,2024-01-24
909,268,create_link,2024-05-24
910,296,share_link,2024-02-17
911,322,signup,2024-03-24
912,100,visit,2024-01-07
913,78,signup,2024-05-21
914,272,create_link,2024-01-11
915,339,create_link,2024-01-12
916,162,visit,2024-04-19
917,44,purchase,2024-05-12
918,238,share_link,2024-05-12
919,134,share_link,2024-05-07
920,461,create_link,2024-05-27
921,192,signup,2024-02-23
922,356,signup,2024-02-24
923,278,purchase,2024-03-19
924,18,signup,2024-03-30
925,12,share_link,2024-04-06
926,180,signup,2024-05-06
927,123,purchase,2024-01-30
928,246,share_link,2024-01-24
929,222,signup,2024-05-10
930,373,share_link,2024-05-01
931,51,create_link,2024-04-09
932,488,create_link,2024-06-24
933,71,create_link,2024-03-11
934,480,signup,2024-05-29
935,48,purchase,2024-01-14
936,19,share_link,2024-02-17
937,262,visit,2024-01-29
938,84,create_link,2024-02-19
939,155,create_link,2024-05-17
940,53,visit,2024-01-27
941,107,visit,2024-03-19
942,357,signup,2024-04-05
943,304,share_link,2024-06-04
944,135,create_link,2024-05-16
945,443,purchase,2024-03-11
946,69,signup,2024-03-20
947,11,signup,2024-06-02
948,143,purchase,2024-03-21
949,192,purchase,2024-03-27
950,387,purchase,2024-01-08
951,378,visit,2024-01-02
952,69,create_link,2024-06-28
953,23,visit,2024-05-02
954,181,create_link,2024-04-30
955,293,visit,2024-04-05
